City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,madaoua,14.073,5.96,28.48,12,97,3.67,NE,1675622815
347,bandarbeyla,9.4942,50.8122,24.18,73,75,7.63,SO,1675622816
348,chiredzi,-21.05,31.6667,23.91,55,0,1.65,ZW,1675622816
349,brodokalmak,55.5748,62.082,-10.5,100,100,1.3,RU,1675622816
350,ishinomaki,38.4167,141.3,1.98,71,9,2.96,JP,1675622817
351,batagay-alyta,67.8006,130.4114,-32.04,99,100,0.6,RU,1675622817
352,hasaki,35.7333,140.8333,1.22,80,98,4.17,JP,1675622665
353,kintinku,-5.8833,35.2333,19.92,88,100,0.53,TZ,1675622817
354,zhezkazgan,47.8043,67.7144,-3.1,96,99,2.9,KZ,1675622818
355,koumac,-20.5667,164.2833,26.99,85,98,2.55,NC,1675622818
356,staryy nadym,65.6118,72.6842,-24.43,100,100,1.98,RU,1675622818
357,gizo,-8.103,156.8419,25.74,93,100,9.01,SB,1675622819
358,konevo,62.1215,39.3192,-17.15,100,100,2.35,RU,1675622819
359,omboue,-1.5746,9.2618,26.04,83,100,2.57,GA,1675622819
360,trelew,-43.249,-65.3051,33.67,17,1,8.0,AR,1675622782
361,fare,-16.7,-151.0167,27.54,74,23,7.06,PF,1675622820
362,swift current,50.2834,-107.8014,-0.55,74,0,9.26,CA,1675622621
